City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,papao,-17.75,-149.55,301.97,75,80,4.19,PF,1698534829
147,invercargill,-46.4,168.35,286.49,65,71,2.24,NZ,1698534831
148,port alfred,-33.5906,26.891,286.03,65,78,1.34,ZA,1698534833
149,badger,64.8,-147.5333,271.38,90,20,0.0,US,1698534835
150,longyearbyen,78.2186,15.6401,270.06,86,75,3.09,SJ,1698534837
151,kenai,60.5544,-151.2583,276.01,80,0,5.66,US,1698534839
152,donaghadee,54.6333,-5.5333,284.11,92,100,2.68,GB,1698534841
153,el bauga,18.262,33.9081,302.87,19,2,4.79,SD,1698534846
154,rongelap,11.1635,166.8941,301.6,77,22,6.88,MH,1698534848
155,santa maria,-29.6842,-53.8069,293.69,91,100,1.93,BR,1698534591
156,cidreira,-30.1811,-50.2056,293.3,93,100,4.95,BR,1698534852
157,seward,40.907,-97.0989,273.23,76,100,3.58,US,1698534721
158,namdrik,5.5994,168.1028,301.78,74,63,4.52,MH,1698534856
159,meulaboh,4.1363,96.1285,297.41,92,50,1.74,ID,1698534858
160,gbarnga,6.9956,-9.4722,295.03,98,100,0.98,LR,1698534861
161,emerald,-23.5333,148.1667,296.67,48,26,5.84,AU,1698534674
162,afaahiti,-17.75,-149.2833,301.08,76,89,3.27,PF,1698534865
163,susuman,62.7833,148.1667,255.92,99,92,0.45,RU,1698534867
164,shush,32.1942,48.2436,296.97,34,88,1.33,IR,1698534869
165,thompson,55.7435,-97.8558,268.24,86,75,2.06,CA,1698534796
166,kismayo,-0.3582,42.5454,299.46,85,4,4.41,SO,1698534874
167,kifri,34.6959,44.9661,296.83,38,20,1.74,IQ,1698534876
168,ghadamis,30.1337,9.5007,298.13,22,72,4.35,LY,1698534878
169,west island,-12.1568,96.8225,299.14,73,100,8.75,CC,1698534880
170,kodiak,57.79,-152.4072,280.88,93,100,8.23,US,1698534882
171,alofi,-19.0595,-169.9187,301.09,65,36,8.23,NU,1698534884
172,new norfolk,-42.7826,147.0587,288.1,48,100,2.35,AU,1698534887
173,port blair,11.6667,92.75,298.17,100,40,0.51,IN,1698534889
174,colares,38.7992,-9.4469,293.14,88,83,9.83,PT,1698534891
175,ubari,26.5921,12.7805,297.24,22,0,3.2,LY,1698534893
176,dazhou,31.2159,107.5009,287.8,85,86,1.65,CN,1698534895
177,mount gambier,-37.8333,140.7667,285.77,56,45,2.72,AU,1698534897
178,udachny,66.4167,112.4,253.03,100,57,3.22,RU,1698534745
179,srikakulam,18.3,83.9,295.54,81,74,2.57,IN,1698534902
180,thal,35.4791,72.2439,282.55,58,85,2.28,PK,1698534904
181,koysinceq,36.0821,44.6278,293.26,45,0,0.98,IQ,1698534906
182,stephenville,32.2207,-98.2023,289.22,94,100,2.06,US,1698534908
183,hithadhoo,-0.6,73.0833,300.31,81,32,7.88,MV,1698534911
184,alliance,40.9153,-81.1059,286.86,91,100,3.25,US,1698534914
185,fort bragg,35.139,-79.006,297.06,69,0,0.45,US,1698534916
186,khandyga,62.6667,135.6,258.92,91,81,1.83,RU,1698534918
187,cabo san lucas,22.8909,-109.9124,302.93,61,0,8.75,MX,1698534920
188,kununurra,-15.7667,128.7333,298.14,44,59,1.54,AU,1698534922
189,avarua,-21.2078,-159.775,298.18,61,75,4.63,CK,1698534925
190,mersing,2.4312,103.8405,297.1,94,40,0.0,MY,1698534927
191,bereket,39.2446,55.5154,293.77,46,51,1.7,TM,1698534929
192,whitehorse,60.7161,-135.0538,268.58,93,100,3.6,CA,1698534931
193,mary,37.0,62.5,294.99,28,82,3.47,TM,1698534933
194,santa cruz do sul,-29.7175,-52.4258,293.59,92,100,0.98,BR,1698534710
195,karratha,-20.7377,116.8463,302.83,50,31,1.39,AU,1698534938
196,robertsport,6.7533,-11.3686,299.44,84,11,3.2,LR,1698534940
197,ust-nera,64.5667,143.2,255.64,98,98,1.04,RU,1698534942
198,tura,25.5198,90.2201,291.74,88,0,1.71,IN,1698534944
199,mahur,25.1667,93.1167,288.82,90,11,0.92,IN,1698534946
